titulo,contenido,autor,fecha,url,emocionalidad_full,subjetividad_full,objetividad_full,seccion
Ficción nacional,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Marina Muñoz,2023-04-03T08:01:12-03:00,https://www.pagina12.com.ar/537246-ficcion-nacional,4.649909496307373,0.37,0.63,negrx
El Día del Trabajador constituye un nuevo desafío que nos convoca a todos,"EN VIVO Cada 1º de mayo, el calendario nos convoca a detenernos y honrar a quienes, con su esfuerzo cotidiano, construyen el presente y el futuro de nuestra patria: las trabajadoras y los trabajadores. En la Argentina, este día no es sólo un símbolo internacional de lucha y dignidad obrera; es también un capítulo profundo en nuestra historia de reivindicación de derechos, justicia social y lucha colectiva. Desde las primeras movilizaciones obreras en el siglo XIX hasta las conquistas laborales consagradas en el peronismo, la Argentina ha sido tierra fértil para las causas del trabajo digno y el reconocimiento de quienes sostienen la economía real con sus manos, su ingenio y su compromiso. Aquella histórica gesta de los mártires de Chicago se enlaza, en nuestra tierra, con las luchas de los obreros de la Patagonia, de los ferroviarios, de las fábricas ocupadas y de cada trabajador que se organizó en defensa de su salario, su tiempo y su dignidad. El legado de Juan Domingo Perón y Eva Perón, pilares de la justicia social como principio rector de la vida nacional, puso al trabajador en el centro del proyecto político argentino. La Constitución de 1949, luego derogada por gobiernos de facto, consagraba los derechos del trabajador, del niño, de la ancianidad y de la familia como garantía del bienestar colectivo. Esa raíz permanece viva en la memoria de nuestro pueblo y nos interpela constatemente a los que nos reconocemos justicialistas. En sintonía con esta tradición, el magisterio de la Iglesia Católica, especialmente desde el Concilio Vaticano II, ha reivindicado con fuerza el valor del trabajo y así lo dice en su documento constitutivo: “el trabajo humano procede inmediatamente de personas creadas a imagen de Dios y llamadas a prolongar la obra creadora”. El trabajo no puede ser reducido a mera mercancía ni sometido a la lógica del descarte. El Papa Francisco, hijo de esta misma tierra argentina, ha continuado y profundizado este pensamiento en encíclicas como Laudato Si’ y Fratelli Tutti. Ha denunciado con claridad los atropellos del sistema económico que excluye y margina, y ha elevado la voz por una economía que sirva al ser humano y no al revés. Francisco nos recuerda que “el trabajo es una dimensión irrenunciable de la vida social, porque no sólo es medio de subsistencia, sino también de realización personal y comunitaria”. Hoy, más que nunca, en un mundo sacudido por crisis económicas, desigualdades estructurales y nuevas formas de precarización, es urgente volver a poner en el centro la dignidad del trabajo. Hacer memoria de nuestras luchas es también proyectar un futuro de solidaridad, organización y justicia. En el municipio de Tigre nos reforzamos día a día en generar las mejores condiciones para crear nuevos empleos, fomentando la inversión pública y privada, así como brindando la capacitación necesaria para que todos nuestros vecinos puedan acceder a un empleo. Como intendente y como peronista, creo en la dignidad del trabajo y por ello, junto con todo el equipo que me acompaña en la gestión, estamos constantemente pensando y diseñando estrategias y políticas públicas que generen las condiciones para la creación de nuevos empleos, siempre con la consigna de no dejar a nadie atrás y entendiendo al trabajo como el gran ordenador social en nuestra comunidad. Creemos que estamos en el camino correcto y en ese camino perseveraremos hasta lograr que, a pesar de la crisis que sufre nuestra Patria, Tigre sea un distrito ejemplar de igualdad y productividad. En este Día del Trabajador, quiero rendir homenaje a cada mujer y hombre que labra el suelo de la patria con dignidad, a cada sindicato que defiende conquistas, a cada joven que sueña con un empleo digno, a cada desocupado que ya no goza de la dignidad del trabajo y que espera recuperarla, y a cada jubilado que contribuyó con su vida y su historia a la grandeza de nuestra Patria y que hoy están siendo olvidados y reprimidos en sus justas protestas. Que el espíritu de comunidad, de justicia social y de amor al prójimo, inspirados en nuestra propia historia como peronistas y en las luchas de quienes buscan un país con equidad y trabajo, con producción y soberanía, nos impulse a construir una Argentina más justa, más humana y más fraterna. JZ Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-05-01T00:10:03-03:00,https://www.pagina12.com.ar/822451-el-dia-del-trabajador-constituye-un-nuevo-desafio-que-nos-co,4.646655082702637,0.3730388298570117,0.6269611701429882,el-pais
Influencers,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Marina Muñoz,2023-11-27T09:00:04-03:00,https://www.pagina12.com.ar/689456-influencers,4.6416401863098145,0.37,0.63,negrx
Papá Noel,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Marina Muñoz,2023-12-25T19:28:01-03:00,https://www.pagina12.com.ar/698695-papa-noel,4.637006759643555,0.37,0.63,negrx
El coro de la majestuosa catedral de St. Paul en Londres tendrá niñas por primera vez,"EN VIVO Por primera vez en sus900 años de historia, habrániñasen elcoroque actuará en lamisa de Navidadel miércoles en lamajestuosa catedral de St. Paul en Londres.Las primeras dos niñas en convertirse oficialmente en coristas se unieron al grupo en junio. El coro, conformado por adultos y niños, actuará bajo la imponentecúpulade 365 pies (111 metros)de la catedral, diseñada por el arquitecto Christopher Wren después de que elGran Incendio desatado en 1666destruyera a su predecesora medieval y arrasara gran parte de la antigua ciudad circundante. Completada en 1711, la impresionante catedral de Piedra de Portland de Wren --inspirada en la de San Pedro, en Roma-- se sitúa en lo alto de Ludgate Hill, en el distrito financiero de Londres.Su enorme cúpula puede verse a kilómetros de distancia, y por ley, no se permite que nuevos edificios bloqueen la vista desde varios puntos lejanos, para aprovechar el atractivo turístico de la maravillosa construcción. Durante laSegunda Guerra Mundial, noche tras noche bajo los bombardeos alemanes, se convirtió en unsímbolo de la resistencia de Londres. Y no sufrió daños durnte la conflagración mundial, en lo que muchos británicos consideraron un reflejo de la invencibilidad del imperio. La catedral ha sido el sitio de numerosos eventos de Estado, incluyendola boda del príncipe Carlos, ahora rey, con Diana Spencer en 1981, y losfuneralesde los ex primeros ministrosWinston Churchill, en 1965, yMargaret Thatcher, en 2013. Muchas de las grandes figuras de Gran Bretaña están enterradas en la catedral, incluyendo al duque de Wellington y al propio Wren. La tumba del arquitecto está cubierta por una simple losa de mármol y cerca de ella hay una placa que dice en latín: “Si buscas el monumento de Wren, mira a tu alrededor”. La catedral es uno de los más famosos y más reconocibles lugares de interés de Londres. Su cúpula, enmarcada por las dos torres de la fachada principal, domina el horizonte de la ciudad desde hace 300 años.​ Con 111 metros de altura, fue el edificio más alto de Londres desde 1710 hasta 1962. Su cúpula fue construida utilizando un método constructivo concebido por Hooke y se encuentra entre las más grandes del mundo. Desde el s. XX es la segunda catedral más grande de Inglaterra, después de la catedral de Liverpool. Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2024-12-24T00:01:00-03:00,https://www.pagina12.com.ar/792543-el-coro-de-la-majestuosa-catedral-de-st-paul-en-londres-tend,4.6361775398254395,0.40825026325026326,0.5917497367497367,sociedad
Una experiencia que inspira para los desafíos del presente,"EN VIVO Antes que nada, los amigos de H.I.J.O.S son nuestros compañeros y compañeras. No es un dato menor que seamos de la misma generación. Para nosotros la aparición de H.I.J.O.S fue una gran oxigenación. Permitió repensar los caminos de la memoria y la verdad en épocas de impunidad. Fue una parte muy relevante de las transformaciones que se incubaron, que se que testearon, que se elaboraron en los ‘90 y que luego desplegaron su potencia a partir de 2001, desbordando o tejiendo la cuestión de qué hacer con la dictadura y con las luchas por los derechos humanos del presente. H.I.J.O.S se presentó como una irrupción potente y un actor fundamental de esa bisagra primero social y después política.Trajeron una nueva fuerza, ofensiva, reivindicativa, que habilitó otros modos, otras posiciones, respecto de las y los desaparecidos y de sus biografías militantes. La potencia de aquellos escraches sintetiza esos desplazamientos; la puesta en acto colectiva, expresiva y comunitaria de debates también colectivos y trascendentes. Además, H.I.J.O.S planteó una confrontación contra la impunidad que no fue solo del plano judicial por las leyes y los indultos, sino que era antes y fundamentalmente social. Reconfiguraron el lugar de los represores, fuera de la vida pública, comunitaria y cotidiana.  Lograron una demarcación social que persiste y que condensó una demanda sobre los poderes del Estado que estaban dejando sin proceso ni condena a los responsables. Ese impulso que fue de lo social hacia lo político y lo judicial fue clave. Un gesto que cambió los balances sociales sobre la dictadura y sus perpetradores y fue precursor de la reapertura de los juicios. Hay mucha inspiración para tomar hoy de ese tiempo: trazar caminos hacia la verdad y la justicia en tiempos de adversidad, irrumpir en el espacio público con acciones de interpelación efectivas,  construir identidades colectivas. Incluso la propia experiencia de que la transformación de lo instituido es posible. Son 30 años que nos llevan a hacer una memoria de esa construcción de memoria que ejercieron las y los Hijos y que se proyecta en el presente con la pregunta de quiénes serán hoy los actores potentes y disruptivos que a fuerza de construcción colectiva generen las condiciones de una transformación. *Directora de Investigación del Centro de Estudios Legales y Sociales (CELS). Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-04-13T00:01:00-03:00,https://www.pagina12.com.ar/817816-una-experiencia-que-inspira-para-los-desafios-del-presente,4.635225296020508,0.36907894736842095,0.630921052631579,el-pais
Lo que hay que saber de la marcha por el 8M,"EN VIVO  Este sábado 8 de marzo, en el marco de la conmemoración de un nuevo Paro Internacional de Mujeres, salimos nuevamente a las calles. Lo que tenés que saber para marchar:  Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Mariana Carbajal,2025-03-08T00:01:00-03:00,https://www.pagina12.com.ar/809085-lo-que-hay-que-saber-de-la-marcha-por-el-8-m,4.634934425354004,0.32922077922077925,0.6707792207792207,sociedad
De Vaca Muerta a Brasil,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-04-03T00:01:00-03:00,https://www.pagina12.com.ar/815236-de-vaca-muerta-a-brasil,4.634809970855713,0.37,0.63,economia
Pueblo y palos,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Marina Muñoz,2024-04-15T09:33:41-03:00,https://www.pagina12.com.ar/729196-pueblo-y-palos,4.634405612945557,0.37,0.63,negrx
Imágenes que marcaron el papado de Francisco,"EN VIVO     Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-04-21T09:10:57-03:00,https://www.pagina12.com.ar/819608-imagenes-que-marcaron-el-papado-de-francisco,4.632819175720215,0.4083333333333334,0.5916666666666666,el-mundo
Blackface,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Marina Muñoz,2024-06-24T11:37:49-03:00,https://www.pagina12.com.ar/746765-blackface,4.631237030029297,0.37,0.63,negrx
